time,chamber_pressure_psia,chamber_temperature_C,fuel_pressure_psia,oxid_pressure_psia,fuel_line_drop_psia,fuel_bv_drop_psia,fuel_injector_drop_psia,oxid_line_drop_psia,oxid_bv_drop_psia,oxid_injector_drop_psia,fuel_volumetric_gpm,oxid_volumetric_gpm,fuel_line_velocity_mps,oxid_line_velocity_mps,fuel_injector_velocity_mps,oxid_injector_velocity_mps,fuel_line_reynolds_Re,oxid_line_reynolds_Re,fuel_volume_gal,oxid_volume_gal,throat_diameter_inches,thrust_lbf,exit_velocity_m_s,exit_pressure_psia,o_f_ratio,t_time_s
0.001,364.124539610145,2937.72187017119,574.91693252526,574.915441572037,11.1600062232206,2.20832844845856,199.362745479374,5.80675148280493,3.37195510682978,199.673509771753,9.28418256452592,9.45084258429192,6.25189795245998,6.36412554267489,4.42276499498462,4.50145555453283,36749.634886791,11307579.9651665,0.999845196716575,0.999842417848528,1.24,748.537510300444,2933.94876853546,15.7316696358803,1.5,0.001
0.002,364.085578303512,2937.71174794663,574.83392590966,574.830945471073,11.1575054805441,2.20786022253403,199.320475134179,5.80546183334895,3.37124016028346,199.631173536044,9.28319826225468,9.44984061284682,6.25123513079405,6.36345082272162,4.42229609666219,4.5009783134946,36745.7387172753,11306381.143777,0.999690468543422,0.999684912155629,1.24,748.456771894901,2933.94336285275,15.7300115177867,1.5,0.002
0.003,364.046628594397,2937.70162873512,574.750948632995,574.746479610701,11.1550057724455,2.20739218687788,199.278221965971,5.80417271552401,3.37052550426296,199.588854504096,9.28221425565119,9.44883894237697,6.25057250822854,6.3627763054428,4.42182733918887,4.5005012158115,36741.8437181029,11305182.6824932,0.999535756772841,0.999527423159744,1.24,748.376058031522,2933.93795878366,15.7283538879221,1.5,0.003
0.004,364.00769046701,2937.69151253257,574.668000678896,574.662043973873,11.1525070976499,2.20692434125453,199.23598595348,5.80288412867441,3.36981113840857,199.546552654608,9.2812305443141,9.44783757247386,6.24991008449319,6.36210199056333,4.42135872237349,4.50002426128895,36737.9498876854,11303984.5808263,0.99938106139991,0.999369950855863,1.24,748.295368677128,2933.93255632601,15.7266967456191,1.5,0.004
0.005,363.968763915625,2937.68139933749,574.585082031005,574.577638543554,11.1500094555291,2.20645668554941,199.193767086366,5.80159607247782,3.36909706254535,199.504267977222,9.28024712809641,9.44683650298781,6.24924785948898,6.36142787798244,4.420890246146,4.49954744985565,36734.0572254407,11302786.8385971,0.999226382419708,0.999212495238976,1.24,748.2147038194,2933.927155479,15.7250400906388,1.5,0.005
0.006,363.92984893452,2937.67128914839,574.502192672978,574.493263302723,11.1475128454551,2.20598921964806,199.151565354292,5.80030854661214,3.36838327649851,199.462000461588,9.27926400685117,9.44583573376925,6.24858583311699,6.36075396759939,4.42042191043641,4.49907078144038,36730.1657307872,11301589.4556268,0.999071719827318,0.999055056304078,1.24,748.134063446025,2933.92175624184,15.7233839227424,1.5,0.006
0.007,363.890945517979,2937.66118196378,574.419332588483,574.40891823437,11.1450172668005,2.20552194343609,199.109380746935,5.79902155075553,3.36766978009342,199.419750097362,9.27828118043157,9.44483526466874,6.24792400527834,6.36008025931354,4.41995371517479,4.49859425597194,36726.2754031437,11300392.4317365,0.998917073617825,0.998897634046166,1.24,748.053447544701,2933.91635861371,15.7217282416914,1.5,0.007
0.008,363.852053660286,2937.65107778219,574.3365017612,574.3246033215,11.1425227189385,2.20505485679922,199.067213253975,5.79773508458642,3.36695657315555,199.377516874213,9.27729864869089,9.44383509553692,6.24726237587423,6.35940675302434,4.41948566029124,4.4981178733792,36722.3862419296,11299195.7667476,0.998762443786316,0.998740228460239,1.24,747.972856103135,2933.91096259383,15.7200730472473,1.5,0.008
0.009,363.813173355734,2937.64097660212,574.253700174821,574.240318547131,11.1400292012427,2.20458795962325,199.025062865104,5.79644914778351,3.36624365551055,199.335300781813,9.27631641148252,9.44283522622454,6.24660094480594,6.35873344863126,4.41901774571591,4.49764163359106,36718.4982465645,11297999.4604814,0.998607830327882,0.998582839541298,1.24,747.892289109042,2933.9055681814,15.718418339172,1.5,0.009
0.01,363.774304598615,2937.63087842211,574.170927813051,574.156063894293,11.1375367130873,2.20412125179408,198.98292957002,5.79516374002573,3.36553102698417,199.293101809847,9.27533446865992,9.44183565658245,6.2459397119748,6.35806034603389,4.418549971379,4.4971655365365,36714.6114164683,11296803.5127595,0.998453233237615,0.998425467284349,1.24,747.811746550144,2933.90017537563,15.7167641172272,1.5,0.01
